№,Province,District,Sub-District,Neighbourhood,Zip Code
29950,KIRIKKALE,ÇELEBİ,MERKEZKÖYLER,KARAYAKUP KÖYÜ,71810
29951,KIRIKKALE,ÇELEBİ,MERKEZKÖYLER,KEPİRLİ KÖYÜ,71810
29952,KIRIKKALE,ÇELEBİ,MERKEZKÖYLER,TİLKİLİ KÖYÜ,71810
29953,KIRIKKALE,DELİCE,ÇERİKLİ,GÖKÇEBEL MAH.,71670
29954,KIRIKKALE,DELİCE,ÇERİKLİ,MERKEZ MAH.,71670
29955,KIRIKKALE,DELİCE,ÇERİKLİ,SAKARYA MAH.,71670
29956,KIRIKKALE,DELİCE,ÇERİKLİ,YENİ MAH.,71670
29957,KIRIKKALE,DELİCE,ÇERİKLİ,YERLİKENT MAH.,71670
29958,KIRIKKALE,DELİCE,DELİCE,AKTEPE MAH.,71700
29959,KIRIKKALE,DELİCE,DELİCE,CUMHURİYET MAH.,71700
29960,KIRIKKALE,DELİCE,DELİCE,FATİH MAH.,71700
29961,KIRIKKALE,DELİCE,DELİCE,FEVZİÇAKMAK MAH.,71700
29962,KIRIKKALE,DELİCE,DELİCE,GÜNDÜZ MAH.,71700
29963,KIRIKKALE,DELİCE,DELİCE,HÜRRİYET MAH.,71700
29964,KIRIKKALE,DELİCE,DELİCE,KARABEKİR MAH.,71700
29965,KIRIKKALE,DELİCE,DELİCE,MİMARSİNAN MAH.,71700
29966,KIRIKKALE,DELİCE,MERKEZKÖYLER,AKBOĞAZ KÖYÜ,71700
29967,KIRIKKALE,DELİCE,MERKEZKÖYLER,ALÇILI KÖYÜ,71700
29968,KIRIKKALE,DELİCE,MERKEZKÖYLER,ARBİŞLİ KÖYÜ,71700
29969,KIRIKKALE,DELİCE,MERKEZKÖYLER,AŞAĞIİHSANGAZİLİ KÖYÜ,71700
29970,KIRIKKALE,DELİCE,MERKEZKÖYLER,BARAKLI KÖYÜ,71700
29971,KIRIKKALE,DELİCE,MERKEZKÖYLER,BOZKÖY KÖYÜ,71700
29972,KIRIKKALE,DELİCE,MERKEZKÖYLER,BÜYÜKAFŞAR KÖYÜ,71700
29973,KIRIKKALE,DELİCE,MERKEZKÖYLER,BÜYÜKYAĞLI KÖYÜ,71700
29974,KIRIKKALE,DELİCE,MERKEZKÖYLER,ÇATALLI KÖYÜ,71700
29975,KIRIKKALE,DELİCE,MERKEZKÖYLER,ÇATALLIKARAKOYUNLU KÖYÜ,71700
29976,KIRIKKALE,DELİCE,MERKEZKÖYLER,ÇOĞUL KÖYÜ,71700
29977,KIRIKKALE,DELİCE,MERKEZKÖYLER,ÇONGAR KÖYÜ,71700
29978,KIRIKKALE,DELİCE,MERKEZKÖYLER,DAĞOBASI KÖYÜ,71700
29979,KIRIKKALE,DELİCE,MERKEZKÖYLER,DEREKIŞLA KÖYÜ,71700
29980,KIRIKKALE,DELİCE,MERKEZKÖYLER,DOĞANÖREN KÖYÜ,71700
29981,KIRIKKALE,DELİCE,MERKEZKÖYLER,ELMALI KÖYÜ,71700
29982,KIRIKKALE,DELİCE,MERKEZKÖYLER,EVLİYALI KÖYÜ,71700
29983,KIRIKKALE,DELİCE,MERKEZKÖYLER,FADILOBASI KÖYÜ,71700
29984,KIRIKKALE,DELİCE,MERKEZKÖYLER,GÖZÜKIZILLI KÖYÜ,71700
29985,KIRIKKALE,DELİCE,MERKEZKÖYLER,HACIOBASI KÖYÜ,71700
29986,KIRIKKALE,DELİCE,MERKEZKÖYLER,HALİTLİ KÖYÜ,71700
29987,KIRIKKALE,DELİCE,MERKEZKÖYLER,HEREKLİ KÖYÜ,71700
29988,KIRIKKALE,DELİCE,MERKEZKÖYLER,İMİRLİ KÖYÜ,71700
29989,KIRIKKALE,DELİCE,MERKEZKÖYLER,KARAKÖSELİ KÖYÜ,71700
29990,KIRIKKALE,DELİCE,MERKEZKÖYLER,KARPUZ KÖYÜ,71700
29991,KIRIKKALE,DELİCE,MERKEZKÖYLER,KAVAKKÖY KÖYÜ,71700
29992,KIRIKKALE,DELİCE,MERKEZKÖYLER,KOCABAŞ KÖYÜ,71700
29993,KIRIKKALE,DELİCE,MERKEZKÖYLER,KURTOĞLU KÖYÜ,71700
29994,KIRIKKALE,DELİCE,MERKEZKÖYLER,KUZEYYURT KÖYÜ,71700
29995,KIRIKKALE,DELİCE,MERKEZKÖYLER,KÜÇÜKAVŞAR KÖYÜ,71700
29996,KIRIKKALE,DELİCE,MERKEZKÖYLER,MEŞEYAYLA KÖYÜ,71700
29997,KIRIKKALE,DELİCE,MERKEZKÖYLER,OCAKBAŞI KÖYÜ,71700
29998,KIRIKKALE,DELİCE,MERKEZKÖYLER,SARIYAKA KÖYÜ,71700
29999,KIRIKKALE,DELİCE,MERKEZKÖYLER,ŞAHÇALI KÖYÜ,71700
30000,KIRIKKALE,DELİCE,MERKEZKÖYLER,TAŞYAZI KÖYÜ,71700
30001,KIRIKKALE,DELİCE,MERKEZKÖYLER,TATLICAK KÖYÜ,71700
30002,KIRIKKALE,DELİCE,MERKEZKÖYLER,TAVAÖZÜ KÖYÜ,71700
30003,KIRIKKALE,DELİCE,MERKEZKÖYLER,TEKKEKÖY KÖYÜ,71700
30004,KIRIKKALE,DELİCE,MERKEZKÖYLER,YAYLAYURT KÖYÜ,71700
30005,KIRIKKALE,DELİCE,MERKEZKÖYLER,YENİYAPAN KÖYÜ,71700
30006,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,FATİHSULTANMEHMET MAH.,71500
30007,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,HOCAAHMETYESEVİ MAH.,71500
30008,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,KARŞIYAKA MAH.,71500
30009,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,KURTULUŞ MAH.,71500
30010,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,MAREŞALFEVZİÇAKMAK MAH.,71500
30011,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,YAVUZSULTANSELİM MAH.,71500
30012,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,YEŞİLEVLER MAH.,71500
30013,KIRIKKALE,KARAKEÇİLİ,KARAKEÇİLİ,ZAFER MAH.,71500
30014,KIRIKKALE,KARAKEÇİLİ,MERKEZKÖYLER,AKKOŞAN KÖYÜ,71500
30015,KIRIKKALE,KARAKEÇİLİ,MERKEZKÖYLER,SULUBÜK KÖYÜ,71500
30016,KIRIKKALE,KESKİN,KESKİN,ALTINTAŞ MAH.,71800
30017,KIRIKKALE,KESKİN,KESKİN,BOZKURT MAH.,71800
30018,KIRIKKALE,KESKİN,KESKİN,GÜNDOĞDU MAH.,71800
30019,KIRIKKALE,KESKİN,KESKİN,MADEN MAH.,71800
30020,KIRIKKALE,KESKİN,KESKİN,YENİ MAH.,71800
30021,KIRIKKALE,KESKİN,KESKİN,YENİCE MAH.,71800
30022,KIRIKKALE,KESKİN,MERKEZKÖYLER,ARMUTLU KÖYÜ,71860
30023,KIRIKKALE,KESKİN,MERKEZKÖYLER,AŞAĞIŞEYH KÖYÜ,71860
30024,KIRIKKALE,KESKİN,MERKEZKÖYLER,BARAK KÖYÜ,71860
30025,KIRIKKALE,KESKİN,MERKEZKÖYLER,BARAKOBASI KÖYÜ,71860
30026,KIRIKKALE,KESKİN,MERKEZKÖYLER,BEŞLER KÖYÜ,71860
30027,KIRIKKALE,KESKİN,MERKEZKÖYLER,BÜYÜKCECELİ KÖYÜ,71860
30028,KIRIKKALE,KESKİN,MERKEZKÖYLER,CABATOBASI KÖYÜ,71860
30029,KIRIKKALE,KESKİN,MERKEZKÖYLER,CANKURTARAN KÖYÜ,71860
30030,KIRIKKALE,KESKİN,MERKEZKÖYLER,CEBRAİLLİ KÖYÜ,71860
30031,KIRIKKALE,KESKİN,MERKEZKÖYLER,CERİTKALE KÖYÜ,71860
30032,KIRIKKALE,KESKİN,MERKEZKÖYLER,CERİTMÜMİNLİ KÖYÜ,71860
30033,KIRIKKALE,KESKİN,MERKEZKÖYLER,CERİTOBASI KÖYÜ,71860
30034,KIRIKKALE,KESKİN,MERKEZKÖYLER,CİNALİ KÖYÜ,71860
30035,KIRIKKALE,KESKİN,MERKEZKÖYLER,ÇALIŞ KÖYÜ,71860
30036,KIRIKKALE,KESKİN,MERKEZKÖYLER,ÇAMURABATMAZ KÖYÜ,71860
30037,KIRIKKALE,KESKİN,MERKEZKÖYLER,ÇİPİDERESİ KÖYÜ,71860
30038,KIRIKKALE,KESKİN,MERKEZKÖYLER,DAĞSOLAKLISI KÖYÜ,71860
30039,KIRIKKALE,KESKİN,MERKEZKÖYLER,DANACIOBASI KÖYÜ,71860
30040,KIRIKKALE,KESKİN,MERKEZKÖYLER,EFENDİKÖY KÖYÜ,71860
30041,KIRIKKALE,KESKİN,MERKEZKÖYLER,EMİNEFENDİ KÖYÜ,71860
30042,KIRIKKALE,KESKİN,MERKEZKÖYLER,EROĞLU KÖYÜ,71860
30043,KIRIKKALE,KESKİN,MERKEZKÖYLER,ESATMÜMİNLİ KÖYÜ,71860
30044,KIRIKKALE,KESKİN,MERKEZKÖYLER,ESKİALİBUDAK KÖYÜ,71860
30045,KIRIKKALE,KESKİN,MERKEZKÖYLER,GAZİBEYLİ KÖYÜ,71860
30046,KIRIKKALE,KESKİN,MERKEZKÖYLER,GÖÇBEYLİ KÖYÜ,71860
30047,KIRIKKALE,KESKİN,MERKEZKÖYLER,GÖKTAŞ KÖYÜ,71860
30048,KIRIKKALE,KESKİN,MERKEZKÖYLER,GÜLKONAK KÖYÜ,71860
30049,KIRIKKALE,KESKİN,MERKEZKÖYLER,HACIALİOBASI KÖYÜ,71860
30050,KIRIKKALE,KESKİN,MERKEZKÖYLER,HACIÖMERSOLAKLISI KÖYÜ,71860
30051,KIRIKKALE,KESKİN,MERKEZKÖYLER,HAYDARDEDE KÖYÜ,71860
30052,KIRIKKALE,KESKİN,MERKEZKÖYLER,İNZİLOĞLU KÖYÜ,71860
30053,KIRIKKALE,KESKİN,MERKEZKÖYLER,KAÇAKKÖY KÖYÜ,71860
30054,KIRIKKALE,KESKİN,MERKEZKÖYLER,KARAFAKILI KÖYÜ,71860
30055,KIRIKKALE,KESKİN,MERKEZKÖYLER,KASIMAĞA KÖYÜ,71860
30056,KIRIKKALE,KESKİN,MERKEZKÖYLER,KAVLAK KÖYÜ,71860
30057,KIRIKKALE,KESKİN,MERKEZKÖYLER,KAVURGALI KÖYÜ,71860
30058,KIRIKKALE,KESKİN,MERKEZKÖYLER,KAYALAKSOLAKLISI KÖYÜ,71860
30059,KIRIKKALE,KESKİN,MERKEZKÖYLER,KEVENLİ KÖYÜ,71860
30060,KIRIKKALE,KESKİN,MERKEZKÖYLER,KONUR KÖYÜ,71860
30061,KIRIKKALE,KESKİN,MERKEZKÖYLER,KONURHACIOBASI KÖYÜ,71860
30062,KIRIKKALE,KESKİN,MERKEZKÖYLER,KÖPRÜKÖY KÖYÜ,71860
30063,KIRIKKALE,KESKİN,MERKEZKÖYLER,KURŞUNKAYA KÖYÜ,71860
30064,KIRIKKALE,KESKİN,MERKEZKÖYLER,KUZUGÜDENLİ KÖYÜ,71860
30065,KIRIKKALE,KESKİN,MERKEZKÖYLER,MÜSELLİM KÖYÜ,71860
30066,KIRIKKALE,KESKİN,MERKEZKÖYLER,OLUNLU KÖYÜ,71860
30067,KIRIKKALE,KESKİN,MERKEZKÖYLER,ORTASÖKEN KÖYÜ,71860
30068,KIRIKKALE,KESKİN,MERKEZKÖYLER,POLATYURDU KÖYÜ,71860
30069,KIRIKKALE,KESKİN,MERKEZKÖYLER,SEYİFLİ KÖYÜ,71860
30070,KIRIKKALE,KESKİN,MERKEZKÖYLER,TAKAZLI KÖYÜ,71860
30071,KIRIKKALE,KESKİN,MERKEZKÖYLER,TURHANLI KÖYÜ,71860
30072,KIRIKKALE,KESKİN,MERKEZKÖYLER,ÜÇEVLER KÖYÜ,71860
30073,KIRIKKALE,KESKİN,MERKEZKÖYLER,ÜÇKUYU KÖYÜ,71860
30074,KIRIKKALE,KESKİN,MERKEZKÖYLER,YENİALİBUDAK KÖYÜ,71860
30075,KIRIKKALE,KESKİN,MERKEZKÖYLER,YENİYAPAN KÖYÜ,71860
30076,KIRIKKALE,KESKİN,MERKEZKÖYLER,YONCALI KÖYÜ,71860
30077,KIRIKKALE,KIRIKKALE,FABRİKALAR,AŞAĞIMAHMUTLAR MAH.,71100
30078,KIRIKKALE,KIRIKKALE,FABRİKALAR,AŞAĞIMAHMUTLARFATİH MAH.,71100
30079,KIRIKKALE,KIRIKKALE,FABRİKALAR,AŞAĞIMAHMUTLARGÜNDOĞDU MAH.,71100
30080,KIRIKKALE,KIRIKKALE,FABRİKALAR,AŞAĞIMAHMUTLARGÜZELTEPE MAH.,71100
30081,KIRIKKALE,KIRIKKALE,FABRİKALAR,AŞAĞIMAHMUTLARKARŞIYAKA MAH.,71100
30082,KIRIKKALE,KIRIKKALE,FABRİKALAR,ÇALILIÖZ MAH.,71100
30083,KIRIKKALE,KIRIKKALE,FABRİKALAR,ÇULLUBAĞLARBAŞI MAH.,71100
30084,KIRIKKALE,KIRIKKALE,FABRİKALAR,FABRİKALAR MAH.,71100
30085,KIRIKKALE,KIRIKKALE,FABRİKALAR,GAZİ MAH.,71100
30086,KIRIKKALE,KIRIKKALE,FABRİKALAR,ŞENTEPE MAH.,71100
30087,KIRIKKALE,KIRIKKALE,FABRİKALAR,YAYLACIK MAH.,71100
30088,KIRIKKALE,KIRIKKALE,FABRİKALAR,YENİ MAH.,71100
30089,KIRIKKALE,KIRIKKALE,HACILAR,ALTINOVA MAH.,71000
30090,KIRIKKALE,KIRIKKALE,HACILAR,HACIBEY MAH.,71000
30091,KIRIKKALE,KIRIKKALE,HACILAR,SAĞLIK MAH.,71000
30092,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,AHİLİ KÖYÜ,71000
30093,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,ÇULLU KÖYÜ,71000
30094,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,DAĞEVİ KÖYÜ,71000
30095,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,HASANDEDE KÖYÜ,71000
30096,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,KARACAALİ KÖYÜ,71000
30097,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,KAZMACA KÖYÜ,71000
30098,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,KIZILDERE KÖYÜ,71000
30099,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,PAZARCIK KÖYÜ,71000
30100,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,ULAŞ KÖYÜ,71000
30101,KIRIKKALE,KIRIKKALE,MERKEZKÖYLER,YUKARIMAHMUTLAR KÖYÜ,71000
30102,KIRIKKALE,KIRIKKALE,SANAYİ,AKŞEMSETTİN MAH.,71400
30103,KIRIKKALE,KIRIKKALE,SANAYİ,BAĞLARBAŞI MAH.,71400
30104,KIRIKKALE,KIRIKKALE,SANAYİ,ETİLER MAH.,71400
30105,KIRIKKALE,KIRIKKALE,SANAYİ,FATİH MAH.,71400
30106,KIRIKKALE,KIRIKKALE,SANAYİ,GÜNDOĞDU MAH.,71400
30107,KIRIKKALE,KIRIKKALE,SANAYİ,KALETEPE MAH.,71400
30108,KIRIKKALE,KIRIKKALE,SANAYİ,KIRIKKÖYÜ MAH.,71400
30109,KIRIKKALE,KIRIKKALE,SANAYİ,KİMESKİ MAH.,71400
30110,KIRIKKALE,KIRIKKALE,SANAYİ,OSMANGAZİ MAH.,71400
30111,KIRIKKALE,KIRIKKALE,SANAYİ,SANAYİ MAH.,71400
30112,KIRIKKALE,KIRIKKALE,TEPEBAŞI,GÜRLER MAH.,71200
30113,KIRIKKALE,KIRIKKALE,TEPEBAŞI,GÜZELTEPE MAH.,71200
30114,KIRIKKALE,KIRIKKALE,TEPEBAŞI,HÜSEYİNKAHYA MAH.,71200
30115,KIRIKKALE,KIRIKKALE,TEPEBAŞI,KURTULUŞ MAH.,71200
30116,KIRIKKALE,KIRIKKALE,TEPEBAŞI,OVACIK MAH.,71200
30117,KIRIKKALE,KIRIKKALE,TEPEBAŞI,TEPEBAŞI MAH.,71200
30118,KIRIKKALE,KIRIKKALE,TEPEBAŞI,YENİDOĞAN MAH.,71200
30119,KIRIKKALE,KIRIKKALE,YUVA,BAHÇELİEVLER MAH.,71300
30120,KIRIKKALE,KIRIKKALE,YUVA,KARŞIYAKA MAH.,71300
30121,KIRIKKALE,KIRIKKALE,YUVA,KIZILIRMAK MAH.,71300
30122,KIRIKKALE,KIRIKKALE,YUVA,SELİMÖZER MAH.,71300
30123,KIRIKKALE,KIRIKKALE,YUVA,YUVA MAH.,71300
30124,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,AĞAYLI KÖYÜ,71900
30125,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,AKKUYU KÖYÜ,71900
30126,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ALİŞEYHLİ KÖYÜ,71900
30127,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ANBARDERE KÖYÜ,71900
30128,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,AYVATLI KÖYÜ,71900
30129,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ÇAYOBA KÖYÜ,71900
30130,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ÇEVRİMLİ KÖYÜ,71900
30131,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,DANACI KÖYÜ,71900
30132,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,DEREDÜZÜ KÖYÜ,71900
30133,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ESENPINAR KÖYÜ,71900
30134,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,FARAŞLI KÖYÜ,71900
30135,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,GÜZELYURT KÖYÜ,71900
30136,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,HAMZALI KÖYÜ,71900
30137,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,İMAMOĞLUÇEŞMESİ KÖYÜ,71900
30138,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,KALEKIŞLA KÖYÜ,71900
30139,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,KIYIHALİLİNCELİ KÖYÜ,71900
30140,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,KIYIKAVURGALI KÖYÜ,71900
30141,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,KORUKÖY KÖYÜ,71900
30142,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,ORTAKÖY KÖYÜ,71900
30143,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,SARIKIZLI KÖYÜ,71900
30144,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,SARIMBEY KÖYÜ,71900
30145,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,SOFULARÇİFTLİĞİ KÖYÜ,71900
30146,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,YAĞBASAN KÖYÜ,71900
30147,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,YENİCELİ KÖYÜ,71900
30148,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,YEŞİLLİ KÖYÜ,71900
30149,KIRIKKALE,SULAKYURT,MERKEZKÖYLER,YEŞİLYAZI KÖYÜ,71900
30150,KIRIKKALE,SULAKYURT,SULAKYURT,YAYLA MAH.,71900
30151,KIRIKKALE,SULAKYURT,SULAKYURT,YENİ MAH.,71900
30152,KIRIKKALE,SULAKYURT,SULAKYURT,YENİHAYAT MAH.,71900
30153,KIRIKKALE,SULAKYURT,SULAKYURT,YENİÖZ MAH.,71900
30154,KIRIKKALE,SULAKYURT,SULAKYURT,YEŞİLYURT MAH.,71900
30155,KIRIKKALE,SULAKYURT,SULAKYURT,YILDIZ MAH.,71900
30156,KIRIKKALE,SULAKYURT,SULAKYURT,YÜKSELEN MAH.,71900
30157,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,BEDESTEN KÖYÜ,71450
30158,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,HACIBALI KÖYÜ,71450
30159,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,HİSARKÖY KÖYÜ,71450
30160,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,IRMAK KÖYÜ,71450
30161,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,KEÇİLİ KÖYÜ,71450
30162,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,KILIÇLAR KÖYÜ,71450
30163,KIRIKKALE,YAHŞİHAN,MERKEZKÖYLER,MAHMUTLAR KÖYÜ,71450
30164,KIRIKKALE,YAHŞİHAN,ÜNİVERSİTE,ÜNİVERSİTE KAMPÜSÜ,71451
30165,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,ALAADDİN MAH.,71450
30166,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,DOGANLIK MAH.,71450
30167,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,EMİRLER MAH.,71450
30168,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,ERENLER MAH.,71450
30169,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,KADIOĞLU MAH.,71450
30170,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,ORGANİZE SANAYİ,71450
30171,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,YENİŞEHİR MAH.,71450
30172,KIRIKKALE,YAHŞİHAN,YAHŞİHAN,YEŞİLVADİ MAH.,71450
30173,KIRKLARELİ,BABAESKİ,ALPULLU,GÜLBAHÇE MAH.,39570
30174,KIRKLARELİ,BABAESKİ,ALPULLU,ŞEKER MAH.,39570
30175,KIRKLARELİ,BABAESKİ,ALPULLU,YENİ MAH.,39570
30176,KIRKLARELİ,BABAESKİ,BABAESKİ,ATATÜRK MAH.,39200
30177,KIRKLARELİ,BABAESKİ,BABAESKİ,CUMHURİYET MAH.,39200
30178,KIRKLARELİ,BABAESKİ,BABAESKİ,DİNDOĞRU MAH.,39200
30179,KIRKLARELİ,BABAESKİ,BABAESKİ,FEVZİÇAKMAK MAH.,39200
30180,KIRKLARELİ,BABAESKİ,BABAESKİ,GAZİKEMAL MAH.,39200
30181,KIRKLARELİ,BABAESKİ,BABAESKİ,GAZİOSMANPAŞA MAH.,39200
30182,KIRKLARELİ,BABAESKİ,BABAESKİ,HACIHASAN MAH.,39200
30183,KIRKLARELİ,BABAESKİ,BABAESKİ,HAMİDİYE MAH.,39200
30184,KIRKLARELİ,BABAESKİ,BABAESKİ,KURTULUŞ MAH.,39200
30185,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,AĞAYERİ KÖYÜ,39200
30186,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ÇAVUŞKÖY KÖYÜ,39200
30187,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ÇENGERLİ KÖYÜ,39200
30188,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ÇİĞDEMLİ KÖYÜ,39200
30189,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,DÜĞÜNCÜLÜ KÖYÜ,39200
30190,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ERİKLERYURDU KÖYÜ,39200
30191,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ERTUĞRULKÖY KÖYÜ,39200
30192,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,HAZİNEDAR KÖYÜ,39200
30193,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KADIKÖY KÖYÜ,39200
30194,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KARABAYIR KÖYÜ,39200
30195,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KARACAOĞLAN KÖYÜ,39200
30196,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KARAMESUTLU KÖYÜ,39200
30197,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KATRANCA KÖYÜ,39200
30198,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KULELİ KÖYÜ,39200
30199,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KUMRULAR KÖYÜ,39200
30200,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,KUZUÇARDAĞI KÖYÜ,39200
30201,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,MANDIRA KÖYÜ,39200
30202,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,MİNNETLER KÖYÜ,39200
30203,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,MUTLU KÖYÜ,39200
30204,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,MÜSELLİM KÖYÜ,39200
30205,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,NACAK KÖYÜ,39200
30206,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,NADİRLİ KÖYÜ,39200
30207,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,ORUÇLU KÖYÜ,39200
30208,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,OSMANİYE KÖYÜ,39200
30209,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,PANCARKÖY KÖYÜ,39200
30210,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,SİNANLI KÖYÜ,39200
30211,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,SOFUHALİL KÖYÜ,39200
30212,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,TAŞAĞIL KÖYÜ,39200
30213,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,TAŞKÖPRÜ KÖYÜ,39200
30214,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,TERZİLİ KÖYÜ,39200
30215,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,YEMİMAHALLE KÖYÜ,39200
30216,KIRKLARELİ,BABAESKİ,MERKEZKÖYLER,YENİKÖY KÖYÜ,39200
30217,KIRKLARELİ,DEMİRKÖY,DEMİRKÖY,HAMDİBEY MAH.,39500
30218,KIRKLARELİ,DEMİRKÖY,DEMİRKÖY,ORHANİYE MAH.,39500
30219,KIRKLARELİ,DEMİRKÖY,DEMİRKÖY,YENİ MAH.,39500
30220,KIRKLARELİ,DEMİRKÖY,İĞNEADA,DENİZ MAH.,39650
30221,KIRKLARELİ,DEMİRKÖY,İĞNEADA,YENİ MAH.,39650
30222,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,ARMUTVEREN KÖYÜ,39500
30223,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,AVCILAR KÖYÜ,39500
30224,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,BALABAN KÖYÜ,39500
30225,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,BEĞENDİK KÖYÜ,39500
30226,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,BOZTAŞ KÖYÜ,39500
30227,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,GÖKYAKA KÖYÜ,39500
30228,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,HAMDİBEY KÖYÜ,39500
30229,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,İNCESIRT KÖYÜ,39500
30230,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,KARACADAĞ KÖYÜ,39500
30231,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,LİMANKÖY KÖYÜ,39500
30232,KIRKLARELİ,DEMİRKÖY,MERKEZKÖYLER,SARPDERE KÖYÜ,39500
