COD_ATECO,DESC_ATECO
51.47.92,"Commercio all'ingrosso di chincaglieria, bigiotteria, oggetti ricordo e di artigianato, compresi gli articoli religiosi"
51.47.94,Commercio all'ingrosso di articoli antincendio ed antinfortunistici
51.47.96,"Commercio all'ingrosso di moquette, linoleum e prodotti similari per il rivestimento di pavimenti"
51.47.98,"Commercio all'ingrosso di articoli di antiquariato, esclusi i mobili"
51.5,"COMMERCIO ALL'INGROSSO DI PRODOTTI INTERMEDI NON AGRICOLI, DI ROTTAMI E CASCAMI"
51.51.2,"Commercio all'ingrosso di combustibili per riscaldamento solidi, liquidi e gassosi"
51.52.2,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati
51.53.2,"Commercio all'ingrosso di materiali da costruzione, compresi gli infissi e gli articoli igienico-sanitari"
51.53.22,Commercio all'ingrosso di manufatti in cemento per l'edilizia
51.53.24,"Commercio all'ingrosso di altri materiali da costruzione, compresi gli infissi e gli articoli di arredo urbano"
51.53.4,"Commercio all'ingrosso di vernici e colori, compresi i pennelli"
51.54.2,"Commercio all'ingrosso di apparecchi ed accessori per impianti idraulici, di riscaldamento e di condizionamento"
51.55.02,"Commercio all'ingrosso di prodotti chimici per l'industria, compresi oli e grassi di origine animale e vegetale e gomma greggia"
51.56.2,Commercio all'ingrosso di altri prodotti intermedi n.c.a.
51.57.2,"Commercio all'ingrosso di rottami e materiali di recupero non metallici, ad esempio in vetro, carta, cartone, tessuto e plastica"
51.83,"Commercio all'ingrosso di macchine per l'industria tessile, conciaria e calzaturiera; macchine per cucire e per maglieria; macchine per lavanderie"
51.84.02,Commercio all'ingrosso di software
51.85.02,Commercio all'ingrosso di mobili per ufficio
51.87,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione"
51.87.02,Commercio all'ingrosso di macchine grafiche
51.87.04,"Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici"
51.87.06,Commercio all'ingrosso di videogiochi per pubblici esercizi
51.88,"Commercio all'ingrosso di macchine, accessori e utensili per l'agricoltura, compresi i trattori, per la zootecnia e per il giardinaggio"
51.90.02,"Forniture di bordo, per case di pena, per convivenze e simili"
52,"COMMERCIO AL DETTAGLIO, ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI; RIPARAZIONE DI BENI PERSONALI E PER LA CASA"
52.11.2,Supermercati
52.11.4,Minimercati ed altri esercizi non specializzati di alimentari vari
52.12.1,Grandi magazzini
52.22,Commercio al dettaglio di carni e di prodotti a base di carne
52.24.2,"Commercio al dettaglio di pasticceria, dolciumi e confetteria"
52.27,Commercio al dettaglio di altri prodotti alimentari
52.27.3,Commercio al dettaglio di caffe'
52.3,"COMMERCIO AL DETTAGLIO DI PRODOTTI FARMACEUTICI; PRODOTTI SANITARI ED APPARECCHI MEDICALI ED ORTOPEDICI; COSMETICI, ARTICOLI DI PROFUMERIA E PER L'IGIENE PERSONALE; ERBORISTERIE"
52.33.1,Erboristerie
52.41.1,"Commercio al dettaglio di tessuti, esclusi i tappeti; biancheria per la casa, escluse le tende"
52.42.1,"Commercio al dettaglio di confezioni per adulti, escluso l'abbigliamento in pelle"
52.42.4,Commercio al dettaglio di pellicce e di abbigliamento in pelle
52.43,Commercio al dettaglio di calzature ed accessori; articoli in cuoio
52.44,"Commercio al dettaglio di mobili, compresi quelli per ufficio; materiale elettrico ed articoli per l'illuminazione; articoli per uso domestico n.c.a."
52.44.2,"Commercio al dettaglio di articoli casalinghi, cristallerie e vasellame"
52.45,"Commercio al dettaglio di elettrodomestici; apparecchi radiotelevisivi; apparecchi per la registrazione e la riproduzione del suono e dell'immagine; strumenti musicali; supporti, vergini o registrati, audio e video"
52.45.2,"Commercio al dettaglio di supporti, vergini o registrati, audio e video"
52.46.1,Commercio al dettaglio di ferramenta e bricolage; materiale termoidraulico; vernici e colori; vetro piano
52.46.4,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura, compresi i semi ed i fertilizzanti; attrezzature per il giardinaggio, esclusi i semi ed i fertilizzanti; animali da cortile; prodotti per la zootecnia, esclusi gli articoli e gli alimenti per gli animali domestici"
52.47.2,"Commercio al dettaglio di giornali, riviste e periodici"
52.48,Commercio al dettaglio di prodotti non alimentari n.c.a.
52.48.C,"Commercio al dettaglio di tappeti, stuoie ed arazzi"
52.48.E,Commercio al dettaglio di altri prodotti non alimentari n.c.a.
52.48.E2,"Commercio al dettaglio di spaghi, cordami, tele e sacchi di juta e prodotti per l'imballaggio in genere, esclusa la carta"
52.48.E4,"Commercio al dettaglio di saponi, detersivi ed altri prodotti per la pulizia non per uso personale"
52.48.E6,Commercio al dettaglio di prodotti non alimentari non previsti nei precedenti codici
52.48.3,"Commercio al dettaglio di orologi, articoli di gioielleria ed argenteria"
52.48.5,"Commercio al dettaglio di articoli sportivi e per il tempo libero; biciclette, compresi ricambi ed accessori; medaglie, coppe, targhe e trofei; articoli per la caccia e la pesca; armi e munizioni; articoli militari, esclusi vestiario e calzature"
52.48.52,"Commercio al dettaglio di biciclette, compresi ricambi ed accessori"
52.48.54,Commercio al dettaglio di articoli per la caccia e la pesca; armi e munizioni
52.48.6,"Commercio al dettaglio di oggetti d'arte, esclusi quelli d'antiquariato; gallerie di esposizione con vendita di oggetti d'arte, comprese le agenzie d'affari per la compravendita; oggetti d'artigianato e di decorazione; arredi sacri ed articoli religiosi; articoli da regalo e per fumatori; bomboniere; chincaglieria e bigiotteria, compresi gli oggetti ricordo e gli articoli di promozione pubblicitaria; articoli per le belle arti"
52.48.62,"Gallerie di esposizione con vendita di oggetti d'arte, comprese le agenzie d'affari per la compravendita"
52.48.64,Commercio al dettaglio di arredi sacri ed articoli religiosi
52.48.66,Commercio al dettaglio di bomboniere
52.48.68,Commercio al dettaglio di articoli per le belle arti
52.48.9,"Commercio al dettaglio di carta da parati; moquette, linoleum e prodotti similari per il rivestimento di pavimenti"
52.50.2,"Commercio al dettaglio di mobili usati; mobili ed oggetti di antiquariato, compresi i libri antichi"
52.61.1,"Commercio al dettaglio di prodotti alimentari effettuato per corrispondenza, per telefono, per radio e per televisione"
52.61.12,"Commercio al dettaglio di prodotti alimentari effettuato per corrispondenza, per telefono e per radio"
52.61.22,"Commercio al dettaglio di prodotti non alimentari effettuato per corrispondenza, per telefono e per radio, esclusi i veicoli"
52.61.4,"Commercio al dettaglio di prodotti non alimentari effettuato via Internet (commercio elettronico), esclusi i veicoli"
52.62.11,Commercio al dettaglio ambulante a posteggio fisso di prodotti ortofrutticoli
52.62.13,Commercio al dettaglio ambulante a posteggio fisso di carne
52.62.2,"Commercio al dettaglio ambulante a posteggio fisso di tessuti, esclusi tappeti e stuoie; articoli tessili per la casa; merceria; articoli di abbigliamento, comprese la biancheria e la maglieria intima"
52.62.22,"Commercio al dettaglio ambulante a posteggio fisso di articoli di abbigliamento, comprese la biancheria e la maglieria intima"
52.62.4,Commercio al dettaglio ambulante a posteggio fisso di arredamenti per giardino; mobili; tappeti e stuoie; articoli casalinghi; elettrodomestici
52.62.6A,Commercio al dettaglio a posteggio fisso di altri prodotti non alimentari n.c.a.
52.62.62,"Commercio al dettaglio ambulante a posteggio fisso di profumi e cosmetici; saponi, detersivi ed altri detergenti per qualsiasi uso"
52.62.64,"Commercio al dettaglio ambulante a posteggio fisso di animali vivi, compresi articoli e alimenti"
52.62.66,Commercio al dettaglio ambulante a posteggio fisso di libri e dischi
52.62.68,Commercio al dettaglio ambulante a posteggio fisso di chincaglieria e bigiotteria
52.63,"Commercio al dettaglio effettuato in altre forme al di fuori dei negozi, compreso il commercio al dettaglio ambulante itinerante; case d'aste di vendita al dettaglio, comprese le vendite fallimentari"
52.63.11,Commercio al dettaglio di prodotti alimentari effettuato mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta)
52.63.2,Commercio al dettaglio effettuato per mezzo di distributori automatici
52.63.22,Commercio al dettaglio di prodotti non alimentari effettuato per mezzo di distributori automatici
52.63.32,Commercio al dettaglio ambulante itinerante di prodotti ittici
52.63.4,"Commercio al dettaglio ambulante itinerante di tessuti, esclusi i tappeti; articoli tessili per la casa; merceria; articoli di abbigliamento, comprese la biancheria, la maglieria intima e gli accessori; calzature e pelletteria"
52.63.6,"Case d'aste di vendita al dettaglio, anche via Internet, comprese le vendite fallimentari"
52.72.01,Riparazione di elettrodomestici
52.72.03,Riparazione di altri apparecchi elettrici per la casa
52.74.02,Modifica e riparazione di articoli di vestiario non effettuate dalle sartorie
52.74.04,Duplicazione di chiavi
52.74.06,Riparazione di altri beni di consumo n.c.a.
55.10.02,"Alberghi, hotel, pensioni e simili con fornitura di alloggio (ed eventualmente di bar) senza ristorante"
55.21.1,Ostelli della gioventu'
55.23,Altri alloggi per brevi soggiorni
55.23.3,Gestione di vagoni letto
55.23.5,Agriturismo
55.30.2,Ristorazione con somministrazione e con preparazione di cibi da asporto
55.30.4,Gelaterie con somministrazione
55.40.02,"Birrerie, pub, enoteche ed altri esercizi simili senza cucina"
60.22,Trasporti con taxi
60.23,Altri trasporti terrestri non regolari di passeggeri
60.30.2,"Trasporti di liquidi mediante condotte, compresa la gestione delle relative stazioni di pompaggio"
63.11.2,Movimentazione merci relativa a trasporti marittimi e fluviali
63.11.3,Movimentazione merci relativa a trasporti ferroviari
63.11.4,Movimentazione merci relativa ad altri trasporti terrestri
63.12,Magazzinaggio e custodia (per conto terzi)
63.12.1,"Magazzini di deposito e custodia (per conto terzi), esclusi quelli frigoriferi"
63.12.2,Magazzini frigoriferi (per conto terzi)
63.2,ALTRE ATTIVITA' CONNESSE AI TRASPORTI
63.21,Altre attivita' connesse ai trasporti terrestri
63.21.1,"Gestione di infrastrutture ferroviarie, compresi la manovra e lo smistamento di carri ferroviari"
63.21.2,"Gestione di strade, ponti e gallerie"
63.21.3,Gestione di stazioni di autobus
63.21.4,Gestione di interporti
63.21.5,"Gestione di parcheggi ed autorimesse, escluso l'autolavaggio"
63.21.6,Altre attivita' connesse ai trasporti terrestri n.c.a.
63.22,Altre attivita' connesse ai trasporti per vie d'acqua
63.23,Altre attivita' connesse ai trasporti aerei
63.3,AGENZIE DI VIAGGIO ED ALTRI INTERMEDIARI DEL TURISMO; OPERATORI TURISTICI (TOUR OPERATOR); ASSISTENZA TURISTICA; GUIDE ED ACCOMPAGNATORI TURISTICI
63.30.1,Agenzie di viaggio ed altri intermediari del turismo; operatori turistici (tour operator); assistenza turistica
63.30.2,Guide ed accompagnatori turistici
63.30.21,Guide turistiche
63.30.22,Accompagnatori turistici
63.4,AGENZIE DI TRASPORTO
63.40.1,Spedizionieri e agenzie di operazioni doganali
63.40.2,Intermediari dei trasporti
64,POSTE E TELECOMUNICAZIONI
64.1,POSTE NAZIONALI; CORRIERI POSTALI DIVERSI DALLE POSTE NAZIONALI; AGENZIE DI RECAPITO A DOMICILIO
64.11,Poste nazionali
64.12,Corrieri postali diversi dalle poste nazionali; agenzie di recapito a domicilio
64.2,TELECOMUNICAZIONI
64.20.1,Gestione di reti di telecomunicazione fissa
64.20.2,Gestione di reti di telecomunicazione mobile
64.20.3,"Gestione di reti di trasmissione (trasporto) di segnali radiotelevisivi (via cavo, via satellite e via ripetitore terrestre), esclusa la messa in onda di programmi (emittenti radiotelevisive)"
64.20.4,Gestione e monitoraggio di reti di trasmissione dati
64.20.5,Fornitura di accesso a Internet (Internet Provider)
64.20.6,Internet Point ed altre attivita' connesse alle telecomunicazioni
64.20.61,Internet Point
64.20.62,Intermediazione in servizi di telecomunicazione e trasmissione dati
64.20.63,Servizio di posto telefonico pubblico e di fax pubblico
64.20.64,Servizio di distribuzione ai rivenditori di schede telefoniche prepagate
64.20.65,Altre attivita' connesse alle telecomunicazioni n.c.a.
65,"INTERMEDIAZIONE MONETARIA E FINANZIARIA, ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE"
65.1,INTERMEDIAZIONE MONETARIA
65.11,Banca Centrale
65.12,Altre intermediazioni monetarie
65.12.1,Banche
65.12.2,"Fondi comuni monetari, escluse le societa' di gestione"
65.12.3,Altre istituzioni finanziarie monetarie (IFM)
65.2,ALTRE INTERMEDIAZIONI FINANZIARIE
65.21,Leasing finanziario
65.22,Altre attivita' creditizie
65.22.1,Credito al consumo
65.22.2,Factoring
65.22.3,Altre attivita' creditizie n.c.a.
65.23,Intermediazioni finanziarie n.c.a.
65.23.1,Societa' fiduciarie di gestione; societa' di investimenti mobiliari; societa' di intermediazione mobiliare (SIM)
65.23.11,Societa' fiduciarie di gestione
65.23.12,Societa' di investimenti mobiliari
65.23.13,Societa' di intermediazione mobiliare (SIM)
65.23.2,Gestione del risparmio per conto proprio
65.23.3,Holding di gruppi finanziari
65.23.4,Merchant bank (Banca d'affari)
65.23.5,"Intermediazione in cambi, esclusi i cambiavalute"
65.23.6,Altre intermediazioni finanziarie n.c.a.
66,ASSICURAZIONI E FONDI PENSIONE
66.01,Assicurazioni sulla vita
66.02,Fondi pensione
66.03,Assicurazioni diverse da quelle sulla vita
67,"ATTIVITA' AUSILIARIE DELL'INTERMEDIAZIONE FINANZIARIA, DELLE ASSICURAZIONI E DEI FONDI PENSIONE"
67.1,ATTIVITA' AUSILIARIE DELL'INTERMEDIAZIONE FINANZIARIA
67.11,Amministrazione dei mercati finanziari
67.11.1,Autorita' centrali di controllo degli intermediari finanziari
67.11.2,Borse valori ed altre attivita' di amministrazione dei mercati finanziari
67.12,Gestione del risparmio per conto terzi
67.13,Altre attivita' ausiliarie dell'intermediazione finanziaria
67.13.1,Cambiavalute
67.13.2,"Promotori finanziari; mediatori, agenti e procacciatori in prodotti finanziari"
67.13.21,Promotori finanziari
67.13.22,"Agenti, mediatori e procacciatori in prodotti finanziari"
67.13.3,Consorzi e cooperative di garanzia collettiva fidi; altre attivita' ausiliarie dell'intermediazione finanziaria n.c.a.
67.2,ATTIVITA' AUSILIARIE DELLE ASSICURAZIONI E DEI FONDI PENSIONE
67.20.1,Intermediari delle assicurazioni
67.20.11,Broker di assicurazioni
67.20.12,Agenti di assicurazioni
67.20.13,Sub-agenti di assicurazioni
67.20.14,"Produttori, procacciatori ed altri intermediari delle assicurazioni"
67.20.2,Periti e liquidatori indipendenti delle assicurazioni
67.20.3,Autorita' centrali di vigilanza su assicurazioni e fondi pensione
70,ATTIVITA' IMMOBILIARI
70.1,ATTIVITA' IMMOBILIARI SU BENI PROPRI
70.11,Valorizzazione e promozione immobiliare di beni propri
70.12,Compravendita immobiliare di beni propri
70.2,LOCAZIONE IMMOBILIARE DI BENI PROPRI E SUB-LOCAZIONE; AFFITTO DI AZIENDE; GESTIONE DI CENTRI COMMERCIALI PROPRI
70.20.01,Locazione immobiliare di beni propri e sub-locazione
70.20.02,Affitto di aziende
70.20.03,"Gestione di centri commerciali propri, esclusa la gestione diretta delle attivita' commerciali"
70.3,ATTIVITA' IMMOBILIARI PER CONTO TERZI
70.31,"Attivita' di mediazione immobiliare, comprese le agenzie immobiliari"
70.32,Amministrazione di condomini; gestione di beni immobili per conto terzi
71,NOLEGGIO SENZA OPERATORE DI MACCHINARI E ATTREZZATURE E DI BENI PER USO PERSONALE E DOMESTICO
71.1,"NOLEGGIO SENZA AUTISTA DI AUTOVETTURE, COMPRESI I FURGONI LEGGERI"
71.2,NOLEGGIO SENZA OPERATORE DI ALTRI MEZZI DI TRASPORTO
71.21,Noleggio senza autista di altri mezzi di trasporto terrestri
71.21.01,Noleggio di motocicli
71.21.02,Noleggio di roulotte e camper
71.21.03,Noleggio di container
71.21.04,"Noleggio senza autista di autocarri e motrici, compresi rimorchi e semi-rimorchi"
71.21.05,Noleggio senza autista di altri mezzi di trasporto terrestri n.c.a.
71.22,"Noleggio senza equipaggio di mezzi di trasporto marittimi e fluviali, escluse le imbarcazioni da diporto"
71.23,Noleggio senza equipaggio di mezzi di trasporto aerei
71.3,NOLEGGIO SENZA OPERATORE DI ALTRE MACCHINE ED ATTREZZATURE
71.31,Noleggio senza operatore di macchine ed attrezzature agricole
71.32,Noleggio senza manovratore di macchine ed attrezzature per lavori edili e di genio civile; noleggio senza manovratore di attrezzature per i sollevamenti speciali
71.33,"Noleggio di macchine ed attrezzature per l'ufficio e per l'informatica, escluso il software"
71.34,Noleggio di giochi elettromeccanici e macchine distributrici; noleggio senza operatore di macchine ed attrezzature n.c.a.
71.34.01,Noleggio di giochi elettromeccanici e macchine distributrici
71.34.02,Noleggio senza operatore di attrezzature di sollevamento e movimentazione merci: ad esempio carrelli elevatori e palette di carico (pallet)
71.34.03,Noleggio di servizi igienici chimici
71.34.04,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: ad esempio impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi"
71.34.05,Noleggio senza operatore di altre macchine ed attrezzature n.c.a.
71.4,NOLEGGIO DI BENI PER USO PERSONALE E DOMESTICO
71.40.1,"Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario, escluso quello effettuato dalle lavanderie industriali"
71.40.2,"Noleggio di biciclette; noleggio di imbarcazioni da diporto senza equipaggio, compresi i pedalo'; noleggio di attrezzature ed articoli sportivi, escluso quello effettuato in connessione con la gestione di impianti sportivi"
71.40.21,Noleggio di biciclette
71.40.22,"Noleggio senza equipaggio di imbarcazioni da diporto, compresi i pedalo'"
71.40.23,"Noleggio di attrezzature ed articoli sportivi, escluso quello effettuato in connessione con la gestione di impianti sportivi"
71.40.3,"Noleggio di supporti registrati audio e video, compresi  i videogiochi"
71.40.4,Noleggio di altri beni per uso personale e domestico
71.40.41,"Noleggio di attrezzature da spiaggia (lettini, sdraio, ombrelloni e simili), esclusi i pedalo' ed il noleggio effettuato in connessione con la gestione di impianti balneari"
71.40.42,"Noleggio di mobili, vasellame e cristalleria, servizi da cucina e da tavola; fiori e piante"
71.40.43,Noleggio di altri beni per uso personale e domestico n.c.a.
72,INFORMATICA ED ATTIVITA' CONNESSE
72.1,CONSULENZA PER L'INSTALLAZIONE DI SISTEMI HARDWARE
72.2,REALIZZAZIONE DI SOFTWARE; CONSULENZA SOFTWARE
72.21,Realizzazione di software non personalizzato (edizioni di software)
72.22,Realizzazione di software personalizzato; consulenza software
72.3,ELABORAZIONE E REGISTRAZIONE ELETTRONICHE DI DATI (PER CONTO TERZI)
72.30.01,Data Entry
72.30.02,"Scannerizzazione ed archiviazione ottica di documenti, compresa la microfilmatura e microarchiviatura"
72.30.03,"Elaborazione elettronica di dati contabili, esclusi i Centri Autorizzati di Assistenza Fiscale (CAAF)"
72.30.04,Altre elaborazioni elettroniche di dati per conto terzi
72.4,GESTIONE DI BANCHE DATI E DI PORTALI WEB
72.5,"INSTALLAZIONE, MANUTENZIONE E RIPARAZIONE DI MACCHINE PER UFFICIO E DI APPARECCHIATURE INFORMATICHE"
72.6,ATTIVITA' CONNESSE ALL'INFORMATICA
72.60.01,"Housing, Hosting e ASP"
72.60.02,"Intermediazione in servizi informatici, esclusi quelli telematici"
72.60.03,Creazione grafica in ambiente web
72.60.04,Altre attivita' connesse all'informatica
73,RICERCA E SVILUPPO
73.1,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA
73.2,RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE
74,SERVIZI PROFESSIONALI ED IMPRENDITORIALI
74.1,"ATTIVITA' LEGALI, CONTABILITA', CONSULENZA FISCALE E SOCIETARIA; STUDI DI MERCATO E SONDAGGI DI OPINIONE; CONSULENZA COMMERCIALE E DI GESTIONE; HOLDING OPERATIVE"
74.11,Studi legali e notarili
74.11.1,Studi legali
74.11.2,Studi notarili
74.12,"Contabilita', consulenza societaria, incarichi giudiziari e consulenza in materia fiscale; societa' di revisione e certificazione di bilanci; gestione ed amministrazione del personale (per conto terzi)"
74.12.1,"Contabilita', consulenza societaria, incarichi giudiziari e consulenza in materia fiscale"
74.12.11,"Servizi in materia di contabilita', consulenza societaria, incarichi giudiziari e consulenza fiscale fornita da dottori commercialisti"
74.12.12,"Servizi in materia di contabilita', consulenza societaria, incarichi giudiziari, consulenza fiscale fornita da ragionieri e periti commerciali"
74.12.13,"Servizi in materia di contabilita' e consulenza fiscale forniti da altri soggetti, compresi i Centri Autorizzati di Assistenza Fiscale (CAAF)"
74.12.2,Societa' di revisione e di certificazione di bilanci
74.12.3,Gestione ed amministrazione del personale (per conto terzi)
74.13,Studi di mercato e sondaggi di opinione
74.14,Consulenza amministrativo-gestionale
74.14.1,Consulenza finanziaria
74.14.2,Consulenza del lavoro
74.14.3,Consulenza agraria
74.14.4,Consulenza amministrativo-gestionale e pianificazione aziendale
74.14.5,Pubbliche relazioni
74.14.6,Fornitura di informazioni commerciali
74.15,"Assunzione e gestione di partecipazioni di controllo o meno, escluse le holding di gruppi finanziari"
74.2,"STUDI DI ARCHITETTURA, DI INGEGNERIA ED ALTRE ATTIVITA' TECNICHE"
74.20.1,Studi di architettura e di ingegneria
74.20.2,Servizi di ingegneria integrata
74.20.3,Aerofotogrammetria e cartografia; previsioni meteorologiche
74.20.4,"Studi geologici e di prospezione geognostica e mineraria; indagini geodetiche, geofisiche, sismologiche ed idrografiche"
74.20.5,Attivita' tecniche n.c.a.
74.20.51,Attivita' tecniche svolte da geometri e periti industriali
74.20.52,Disegnatori tecnici
74.20.53,Consulenza su sicurezza ed igiene del posto di lavoro
74.20.54,Consulenza su sicurezza dei prodotti svolta non in connessione con l'analisi tecnica degli stessi
74.20.55,Altre attivita' tecniche n.c.a.
74.3,COLLAUDI ED ANALISI TECNICHE
74.30.1,Collaudi ed analisi tecniche di prodotti
74.30.2,"Certificazione di prodotti, processi e sistemi; consorzi per la tutela di beni di produzione controllata"
74.30.21,"Certificazione di prodotti, processi e sistemi"
74.30.22,Consorzi per la tutela di beni di produzione controllata
74.4,PUBBLICITA'
74.40.1,Studi di promozione pubblicitaria
74.40.2,Agenzie di concessione degli spazi pubblicitari; intermediazione in servizi pubblicitari
74.5,"SERVIZI DI RICERCA, SELEZIONE E FORNITURA DI PERSONALE"
74.50.1,"Servizi di ricerca, selezione, collocamento e supporto per il ricollocamento di personale"
74.50.2,Agenzie di fornitura di lavoro interinale
74.6,SERVIZI DI VIGILANZA ED INVESTIGAZIONE
74.60.1,Servizi di vigilanza
74.60.2,Servizi di investigazione
74.7,"SERVIZI DI PULIZIA, DISINFEZIONE E DISINFESTAZIONE"
74.70.1,Servizi di pulizia
74.70.2,Servizi di disinfezione e disinfestazione
74.8,ALTRI SERVIZI PROFESSIONALI ED IMPRENDITORIALI
74.81,Attivita' fotografiche
74.81.1,Studi fotografici
74.81.2,Laboratori fotografici per lo sviluppo e la stampa
74.81.3,"Aerofotografia, esclusa la aereocinematografia"
74.82,Imballaggio e confezionamento (per conto terzi)
74.82.1,Imballaggio e confezionamento di generi alimentari
74.82.2,Imballaggio e confezionamento di generi non alimentari
74.85,"Servizi di segreteria; traduzioni; disbrigo pratiche; spedizione di materiale propagandistico, compilazione e gestione di indirizzi ed elenchi"
74.85.1,"Servizi di segreteria: dattilografia, stenografia, fotocopiatura e attivita' simili"
74.85.2,Traduzioni ed interpretariato
74.85.3,Richiesta certificati e disbrigo pratiche
74.85.4,"Spedizione di materiale propagandistico, compilazione e gestione di indirizzi ed elenchi"
74.86,Call center
74.87,Altri servizi professionali ed imprenditoriali n.c.a.
74.87.1,"Imprese ed enti di gestione esattoriale; riscossione di tributi (ad esempio bollo auto e canone televisivo) effettuata da altri soggetti autorizzati (ricevitorie del Lotto, ecc.)"
74.87.11,Imprese ed enti di gestione esattoriale
74.87.12,"Riscossione di tributi (ad esempio bollo auto e canone televisivo) effettuata da altri soggetti autorizzati (ricevitorie del Lotto, ecc.)"
74.87.2,Agenzie di recupero crediti
74.87.3,"Agenzie di distribuzione di libri, giornali e riviste"
74.87.4,"Pubblici mercati e pese pubbliche, esclusi i banditori d'asta"
74.87.5,"Design e stiling relativo a tessili, abbigliamento, calzature, gioielleria, mobili ed altri beni personali e per la casa"
74.87.6,"Organizzazione di fiere, mostre, esposizioni, convegni e manifestazioni simili; servizi degli uffici-residence"
74.87.61,"Organizzazione di fiere, mostre, esposizioni, convegni e manifestazioni simili"
74.87.62,Servizi degli uffici-residence
74.87.7,"Logistica aziendale, esterna e dei flussi di ritorno"
74.87.8,Servizi professionali ed imprenditoriali non previsti nei precedenti codici
74.87.81,Agenti e rappresentanti in servizi n.c.a.
74.87.82,Procacciatori d'affari e mediatori in servizi n.c.a.
74.87.83,Agenzie d'affari n.c.a.
74.87.84,Attivita' peritali non inerenti al settore immobiliare o assicurativo
74.87.85,"Gestione dei diritti connessi alla proprieta' industriale (licenze, brevetti, marchi di fabbrica, franchising, ecc.)"
74.87.86,Altri servizi professionali ed imprenditoriali non previsti nei precedenti codici
75,AMMINISTRAZIONE PUBBLICA (NOTA: LE ATTIVITA' DELLA P.A. QUI PREVISTE NON COMPORTANO  L'ISCRIZIONE AL REGISTRO DELLE IMPRESE)
80,ISTRUZIONE
80.1,ISTRUZIONE PRIMARIA
80.10.1,"Istruzione di grado preparatorio: scuole materne, scuole speciali collegate a quelle primarie"
80.10.2,Istruzione primaria: scuole elementari
80.2,ISTRUZIONE SECONDARIA
80.21,Istruzione secondaria di formazione generale
80.21.1,Istruzione secondaria di primo grado: scuole medie
80.21.2,Istruzione secondaria di secondo grado: licei
80.22,"Istruzione secondaria di secondo grado: istituti tecnici, professionali ed artistici"
80.3,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA
80.30.1,Corsi di laurea e di diploma universitario
80.30.2,Corsi post-universitari
80.30.3,Altre forme di istruzione universitaria e post-universitaria
80.4,AUTOSCUOLE E SCUOLE DI PILOTAGGIO NON PER LINEE COMMERCIALI; CORSI DI FORMAZIONE E PERFEZIONAMENTO; ALTRI SERVIZI DI ISTRUZIONE
80.41,Autoscuole; scuole di pilotaggio aeronautico e nautico non per linee commerciali
80.42,Corsi di formazione e perfezionamento; altri servizi di istruzione
80.42.1,Universita' per la terza eta'
80.42.2,Corsi di formazione professionale
80.42.3,Scuole e corsi di lingua
80.42.4,Altri servizi di istruzione n.c.a.
85,SANITA' ED ASSISTENZA SOCIALE
85.1,SERVIZI SANITARI
85.11,Servizi ospedalieri
85.11.1,Ospedali e case di cura generali
85.11.2,Ospedali e case di cura specializzati
85.11.3,Ospedali e case di cura psichiatrici
85.11.4,"Istituti, cliniche e policlinici universitari"
85.11.5,Ospedali e case di cura per lunga degenza (cronicari)
85.12,"Studi medici, esclusi gli studi odontoiatrici"
85.12.1,Studi medici generici
85.12.2,Studi medici specialistici e poliambulatori
85.12.3,Studi di radiologia e radioterapia
85.12.31,Studi di radiologia
85.12.32,Studi di radioterapia
85.12.4,Centri di igiene mentale
85.12.5,"Altre istituzioni sanitarie senza ricovero: centri dialisi, ambulatori tricologici, ecc."
85.13,Studi odontoiatrici
85.14,Altri servizi sanitari
85.14.1,"Laboratori di analisi cliniche, igiene e profilassi"
85.14.2,Attivita' paramediche
85.14.21,Fisioterapia
85.14.22,Assistenza infermieristica
85.14.23,Altre attivita' paramediche
85.2,SERVIZI VETERINARI
85.31.02,Altre forme di assistenza sociale residenziale
85.32.01,"Asili nido e giardini d'infanzia (kinder garden), escluse le ludoteche"
85.32.03,Altre forme di assistenza sociale non residenziale
91,ATTIVITA' DI ORGANIZZAZIONI ASSOCIATIVE (NOTA: L'ISCRIZIONE NEL REGISTRO DELLE IMPRESE DI QUESTE ORGANIZZAZIONI PRESUPPONE LO SVOLGIMENTO DI ATTIVITA' ECONOMICHE CHE SONO GIA' PREVISTE NELLE ALTRE DIVISIONI)
92.13,Proiezioni cinematografiche
92.31.02,Organizzazione di spettacoli
